1;1;Hovedstadsområdet;1199224;1213822
2;2;Aarhus;249709;252213
3;3;Odense;167615;168798
4;4;Aalborg;103545;104885
5;5;Esbjerg;71576;71579
6;6;Randers;60656;61121
7;7;Kolding;57197;57540
8;8;Horsens;53807;54450
9;9;Vejle;51341;51804
10;10;Roskilde;47117;47828
11;12;Herning;46279;46873
12;11;Helsingør;46279;46300
13;13;Hørsholm;45873;45865
14;14;Silkeborg;42724;42807
15;15;Næstved;41667;41857
16;16;Fredericia;39716;39797
17;17;Viborg;35893;37635
18;18;Køge;35104;35295
19;19;Holstebro;34241;34378
20;20;Taastrup;32406;32719
21;21;Slagelse;31979;32133
22;22;Hillerød;30350;30570
23;23;Sønderborg;27237;27304
24;24;Holbæk;27055;27195
25;25;Svendborg;27009;26897
26;26;Hjørring;24762;24867
27;27;Frederikshavn;23339;23295
28;28;Nørresundby;21376;21671
29;30;Ringsted;21151;21412
30;29;Haderslev;21213;21396
31;31;Ølstykke-Stenløse;20665;20984
32;32;Skive;20633;20562
